"expert","Expert","CU_group","BSL_lower","BSL_upper","BSL_best_guess","S01_lower","S01_upper","S01_best_guess","S02_lower","S02_upper","S02_best_guess","S03_lower","S03_upper","S03_best_guess","S04_lower","S04_upper","S04_best_guess","S05_lower","S05_upper","S05_best_guess","S06_lower","S06_upper","S06_best_guess","S07_lower","S07_upper","S07_best_guess","S08_lower","S08_upper","S08_best_guess","S09_lower","S09_upper","S09_best_guess","S10_lower","S10_upper","S10_best_guess","S11_lower","S11_upper","S11_best_guess","S12_1.9.10_lower","S12_1.9.10_upper","S12_1.9.10_best_guess","S13_2.6_lower","S13_2.6_upper","S13_2.6_best_guess","ALL_lower","ALL_upper","ALL_best_guess","S15_Fut_Bas_lower","S15_Fut_Bas_upper","S15_Fut_Bas_best_guess"
12,"9n","Coho_BB",10,30,25,10,30,25,20,40,30,20,35,30,20,40,30,15,35,25,15,40,30,10,35,30,20,40,35,10,30,25,10,30,25,20,45,35,10,30,25,20,40,30,25,50,40,10,30,25
12,"9n","Pink_FR",30,60,50,35,65,55,40,65,55,35,65,55,35,65,55,35,65,55,40,65,55,30,60,50,35,70,60,30,60,50,30,60,50,40,70,60,35,65,55,40,65,55,45,75,65,30,60,50
12,"9n","Sockeye_Chilliwack_ES",30,60,50,40,65,55,35,65,55,35,65,55,30,65,55,30,65,55,30,60,50,30,60,50,30,65,50,30,60,50,30,60,50,40,70,60,40,65,55,35,65,55,40,70,65,30,60,50
12,"9n","Sockeye_Cultus_Late",0,20,10,0,20,10,5,25,15,0,25,10,0,25,15,0,20,10,0,20,10,5,25,15,5,25,15,0,20,10,0,20,10,0,30,20,0,20,10,5,25,15,5,30,20,0,20,10
12,"9n","Sockeye_Harrison_Down_Late(Big_Silver)",30,55,45,40,60,50,35,60,50,35,60,50,35,60,50,30,55,45,35,60,50,30,55,45,30,60,45,30,55,45,30,55,45,40,65,55,40,60,50,35,60,50,40,65,60,30,55,45
12,"9n","Sockeye_Harrison_Up_Late(Weaver)",0,25,15,5,30,20,5,30,20,5,30,20,5,30,20,0,30,20,0,30,15,0,30,15,0,30,15,0,25,15,0,25,15,10,35,25,5,30,20,5,30,20,10,35,30,0,25,15
12,"9n","Sockeye_Pitt_ES",30,60,50,40,65,55,35,70,60,35,65,55,35,65,55,35,65,55,35,65,55,30,65,50,30,65,50,30,60,50,30,60,50,40,70,60,40,65,55,35,70,60,40,70,65,30,60,50
12,"9n","Sockeye_Lillooet/Harrison_Late(Birk)",20,50,45,25,55,50,25,55,50,25,55,50,25,55,50,25,55,50,25,55,50,20,50,45,25,55,50,20,50,45,20,50,45,30,60,55,25,55,50,25,55,50,35,65,60,20,50,45
12,"9n","Sockeye_Harrison_River",30,60,50,40,65,55,35,65,55,35,65,55,35,65,55,35,65,55,35,65,55,30,60,50,35,65,55,30,60,50,30,60,50,40,70,60,40,65,55,35,65,55,40,70,65,30,60,50
12,"9n","Sockeye_Widgeon_River",0,20,10,0,20,10,5,25,15,0,25,10,0,25,15,0,25,10,0,20,10,5,25,15,0,25,10,0,20,10,0,20,10,10,30,20,0,20,10,5,25,15,10,30,25,0,20,10
13,"No","Chinook_LFR_FA_0.3",20,40,30,40,70,60,30,60,55,40,70,60,40,70,60,40,75,65,40,65,60,20,30,25,30,60,55,30,60,55,25,70,60,25,70,60,40,80,75,40,75,70,40,80,75,NA,NA,NA
13,"No","Chinook_Maria_Slough_SU_0.3",20,40,30,40,70,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"No","Chinook_LFR_SP_1.3",20,45,35,40,70,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"gs","Chinook_LFR_FA_0.3",25,50,35,25,55,40,25,60,40,25,50,35,25,55,35,30,55,40,25,50,35,30,55,40,25,55,35,30,60,45,25,50,35,25,55,40,40,70,55,35,65,45,40,80,55,20,45,30
14,"gs","Chinook_Maria_Slough_SU_0.3",25,50,35,25,55,40,25,55,40,25,50,35,25,55,35,30,55,40,25,50,35,30,55,40,25,55,35,30,60,45,25,50,35,25,55,40,40,70,55,35,60,45,40,80,55,20,45,30
14,"gs","Chinook_LFR_SP_1.3",30,60,50,35,65,55,30,65,50,30,60,50,30,60,50,35,65,55,35,65,55,35,65,55,30,65,50,35,70,60,30,60,50,30,65,55,45,80,70,40,70,60,45,90,70,25,55,45
14,"gs","Chinook_LFR_SU_1.3",15,35,20,15,45,35,15,40,20,15,35,20,15,40,20,15,35,20,20,40,25,20,40,25,15,40,20,20,45,30,20,45,30,15,40,25,30,65,55,25,45,30,30,65,45,10,30,15
14,"gs","Chinook_LFR-Upper_Pitt_SU_1.3",0,15,10,5,20,15,0,15,10,0,15,10,0,20,10,5,20,15,0,15,10,5,20,15,0,20,10,0,25,15,0,15,10,0,20,15,5,30,20,10,25,20,15,45,25,0,10,5
14,"gs","Chinook_BB_FA_0.3",15,30,20,20,35,25,20,35,25,15,35,20,15,35,20,20,35,25,20,35,25,20,35,25,15,35,20,20,40,30,20,40,30,15,35,25,30,60,50,25,40,30,30,60,40,10,25,15
14,"gs","Chum_LFR",15,70,45,20,75,50,15,70,45,15,70,45,15,75,45,15,70,45,25,75,55,15,70,45,15,70,45,15,75,50,15,70,45,15,75,45,20,85,60,30,80,60,30,85,65,10,65,40
14,"gs","Pink_FR",35,60,55,40,65,60,35,65,55,35,60,55,35,65,55,35,60,55,45,70,65,35,60,55,35,65,55,35,65,60,35,60,55,35,65,55,40,75,70,50,75,70,55,90,75,30,55,50
14,"gs","Sockeye_Chilliwack_ES",35,65,50,40,70,55,35,65,50,35,65,50,35,70,50,35,65,50,35,65,50,35,65,50,35,65,50,35,70,55,35,65,50,35,70,50,40,80,65,40,75,55,50,90,65,30,60,45
