Conservation_Unit,Strategy,Lower,Best.Guess,Upper
Chinook_LFR_FA_0.3,S13,40.33621964967048,61.56183094072769,75.94381665838674
Chinook_LFR_FA_0.3,ALL,44.36433900556522,63.92030062984348,76.65307690191305
Chinook_LFR_FA_0.3,S15,18.890025575447574,36.65217391304348,52.048593350383634
Chinook_LFR_SP_1.3,BSL,18.863636363636363,36.90909090909091,49.72727272727273
Chinook_LFR_SP_1.3,S01,27.74488636363636,48.422997159090905,60.86055397727273
Chinook_LFR_SP_1.3,S02,27.408094692786364,46.10034090459091,59.463189389172726
Chinook_LFR_SP_1.3,S03,26.96785511363636,46.37990340909091,59.134522727272724
Chinook_LFR_SP_1.3,S04,27.98973636363636,47.3190909090909,59.061572727272726
Chinook_LFR_SP_1.3,S05,27.620636363636365,46.01359090909091,58.588522727272725
Chinook_LFR_SP_1.3,S06,26.866761363636364,46.740340909090904,60.16789772727273
Chinook_LFR_SP_1.3,S07,23.203460923004783,41.77268739803827,55.41393939127273
Chinook_LFR_SP_1.3,S08,28.816761363636363,46.65909090909091,60.08664772727273
Chinook_LFR_SP_1.3,S09,24.516004784688995,43.10264354066985,56.161351674641146
Chinook_LFR_SP_1.3,S10,26.150812285914142,44.862100164368684,58.97495790782828
Chinook_LFR_SP_1.3,S11,25.12863636363636,45.65909090909091,57.462272727272726
Chinook_LFR_SP_1.3,S12,33.460218971004785,54.01764354656459,67.00555306948326
Chinook_LFR_SP_1.3,S13,38.634817255577545,58.41884189991443,71.07529626703743
Chinook_LFR_SP_1.3,ALL,39.19351958141414,58.965096286868686,72.2819356179394
Chinook_LFR_SP_1.3,S15,15.551136363636363,32.84659090909091,48.91477272727273
Chinook_LFR_SU_1.3,BSL,21,39,51.7
Chinook_LFR_SU_1.3,S01,29.37375,49.641640625,61.364703125000005
Chinook_LFR_SU_1.3,S02,27.915833329947368,46.59666666294737,60.15666666252632
Chinook_LFR_SU_1.3,S03,28.09223684210526,46.49368421052632,60.69911184210527
Chinook_LFR_SU_1.3,S04,28.670526315789473,47.875894736842106,60.28368421052632
Chinook_LFR_SU_1.3,S05,28.02315789473684,46.02315789473684,58.28421052631579
Chinook_LFR_SU_1.3,S06,27.667279411764703,46.61360294117647,60.30294117647059
Chinook_LFR_SU_1.3,S07,25.22550925727778,43.22550925727778,56.91277777533334
Chinook_LFR_SU_1.3,S08,28.99671052631579,46.141447368421055,59.61118421052632
Chinook_LFR_SU_1.3,S09,26.395138888888887,44.55381944444444,56.61909722222222
Chinook_LFR_SU_1.3,S10,28.911666662705883,46.833333329411765,60.316666662352944
Chinook_LFR_SU_1.3,S11,27.00526315789474,46.810526315789474,58.73684210526316
Chinook_LFR_SU_1.3,S12,34.436776625,54.192515437333334,67.00000965033334
Chinook_LFR_SU_1.3,S13,37.066611466124996,57.472307300625005,70.00047188387501
Chinook_LFR_SU_1.3,ALL,39.235972937411766,58.65748530447058,71.31687066541177
Chinook_LFR_SU_1.3,S15,17.333333333333332,34.333333333333336,48.833333333333336
Chinook_LFR-Upper_Pitt_SU_1.3,BSL,14.117647058823529,28.235294117647058,40.470588235294116
Chinook_LFR-Upper_Pitt_SU_1.3,S01,20.93158088235294,36.89637867647059,49.50110294117647
Chinook_LFR-Upper_Pitt_SU_1.3,S02,20.37280330576103,36.74571078014706,50.72564031360662
Chinook_LFR-Upper_Pitt_SU_1.3,S03,19.28210018382353,35.54498161764706,49.329611672794115
Chinook_LFR-Upper_Pitt_SU_1.3,S04,20.84077205882353,39.16579411764705,51.40108823529411
Chinook_LFR-Upper_Pitt_SU_1.3,S05,20.068584558823527,35.27216911764706,46.986213235294116
Chinook_LFR-Upper_Pitt_SU_1.3,S06,18.818539915966387,36.07011554621849,49.088891806722685
Chinook_LFR-Upper_Pitt_SU_1.3,S07,16.439702613290194,31.50512744944706,45.82553267722745
Chinook_LFR-Upper_Pitt_SU_1.3,S08,22.34420955882353,36.46185661764706,49.103400735294116
Chinook_LFR-Upper_Pitt_SU_1.3,S09,18.956470588235295,33.846985294117644,46.048676470588234
Chinook_LFR-Upper_Pitt_SU_1.3,S10,21.97448038822353,36.66918300231372,50.458088230294116
Chinook_LFR-Upper_Pitt_SU_1.3,S11,18.93014705882353,37.72904411764706,48.870588235294115
Chinook_LFR-Upper_Pitt_SU_1.3,S12,27.984400535823532,43.99663309877206,57.36061645291912
Chinook_LFR-Upper_Pitt_SU_1.3,S13,32.90498595682352,48.80972134984706,62.32805324589411
Chinook_LFR-Upper_Pitt_SU_1.3,ALL,34.270123276823526,51.32217800764706,65.80143093329411
Chinook_LFR-Upper_Pitt_SU_1.3,S15,11.260504201680671,23.949579831932773,38.470588235294116
Chinook_Maria_Slough_SU_0.3,BSL,16.5,31.75,43
Chinook_Maria_Slough_SU_0.3,S01,25.22265625,43.298796875,55.455953125
Chinook_Maria_Slough_SU_0.3,S02,24.821296292222222,42.340740735555556,54.9145833275
Chinook_Maria_Slough_SU_0.3,S03,23.3859375,41.6375,54.3
Chinook_Maria_Slough_SU_0.3,S04,26.83288888888889,43.123888888888885,55.91611111111111
Chinook_Maria_Slough_SU_0.3,S05,25.380555555555553,41.59583333333333,51.6875
Chinook_Maria_Slough_SU_0.3,S06,23.583984375,40.662109375,52.826171875
Chinook_Maria_Slough_SU_0.3,S07,22.061225487588235,37.47848038947059,49.564754898882356
Chinook_Maria_Slough_SU_0.3,S08,26.74652777777778,42.89930555555556,54.375
Chinook_Maria_Slough_SU_0.3,S09,21.372426470588238,37.630514705882355,49.14933823529412
Chinook_Maria_Slough_SU_0.3,S10,25.114218745687502,40.0729166625,52.7794270784375
Chinook_Maria_Slough_SU_0.3,S11,22.333333333333332,40.85,52.52777777777778
Chinook_Maria_Slough_SU_0.3,S12,29.58900123,48.139705887999995,59.958792898
Chinook_Maria_Slough_SU_0.3,S13,35.883035009400004,54.432275011,65.8655661222
Chinook_Maria_Slough_SU_0.3,ALL,36.134639570000004,55.699944970000004,67.942465212
Chinook_Maria_Slough_SU_0.3,S15,14.5,28.178571428571427,42.07142857142857
Chum_LFR,BSL,22.727272727272727,40.45454545454545,55.31818181818182
Chum_LFR,S01,32.78211647727272,50.35079545454545,64.92896306818182
Chum_LFR,S02,29.98949494593939,49.62958513259307,64.88226911508659
Chum_LFR,S03,30.052094155844156,49.80731331168831,66.21461038961039
Chum_LFR,S04,32.707653679653674,52.74825974025974,68.23980086580087
Chum_LFR,S05,29.90893939393939,48.96002164502164,62.83080086580087
Chum_LFR,S06,32.1565490430622,53.23217703349282,67.90337918660288
Chum_LFR,S07,29.302481057522726,46.887587118195455,62.78193181468182
Chum_LFR,S08,34.41179653679654,51.40395021645021,67.3896103896104
Chum_LFR,S09,29.068147727272727,46.79542045454545,61.91611931818182
Chum_LFR,S10,30.85744816179904,49.0402910642823,63.72870812976077
Chum_LFR,S11,29.89393939393939,47.85454545454545,62.88484848484849
Chum_LFR,S12,34.56238557857273,53.515092334045455,69.66865925368182
Chum_LFR,S13,38.95617319810606,58.898213519045456,75.13653321668181
Chum_LFR,ALL,42.495913886009575,61.34970844401914,76.61307836049761
Chum_LFR,S15,17.539772727272727,31.517045454545453,49.81818181818182
Coho_BB,BSL,12.8125,25,35.9375
Coho_BB,S01,19.13642578125,34.594921875,45.532421875
Coho_BB,S02,20.593452377142857,38.37351189821429,50.52678570714286
Coho_BB,S03,22.134999999999998,37.28875,49.4975
Coho_BB,S04,25.304499999999997,42.58133333333333,54.212833333333336
Coho_BB,S05,23.237499999999997,38.15535714285714,50.08571428571429
Coho_BB,S06,21.53125,42.71875,55.90625
Coho_BB,S07,19.413095235,37.0333928515,48.7832738035
Coho_BB,S08,27.03125,42.120535714285715,53.92857142857143
Coho_BB,S09,21.014017857142857,35.64973214285715,46.38321428571429
Coho_BB,S10,24.438974353153846,39.597115377307695,52.583333325
Coho_BB,S11,19.5625,37,48.9375
Coho_BB,S12,26.679253477000003,41.953373021714285,54.68756201042857
Coho_BB,S13,32.450833342857145,50.28435417892857,61.95829167928571
Coho_BB,ALL,37.22479912,52.61795456,65.5281656
Coho_BB,S15,9.645833333333334,17.666666666666668,31.9375
Coho_LFR,BSL,15.9375,32.5,45.625
Coho_LFR,S01,24.87822265625,42.31298828125,56.74638671875
