expert,code,CU_group,Estimate,Value,Strategy,Est.Type
10,wc,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,10,BSL,Lower
10,wc,Sockeye_Pitt_ES,BSL_lower,10,BSL,Lower
10,wc,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,10,BSL,Lower
10,wc,Sockeye_Harrison_River,BSL_lower,20,BSL,Lower
10,wc,Sockeye_Widgeon_River,BSL_lower,10,BSL,Lower
11,aH,Chinook_LFR_FA_0.3,BSL_lower,0,BSL,Lower
11,aH,Chinook_BB_FA_0.3,BSL_lower,0,BSL,Lower
11,aH,Chum_LFR,BSL_lower,0,BSL,Lower
11,aH,Coho_LFR,BSL_lower,0,BSL,Lower
11,aH,Coho_BB,BSL_lower,0,BSL,Lower
12,9n,Chinook_LFR_FA_0.3,BSL_lower,30,BSL,Lower
12,9n,Chinook_Maria_Slough_SU_0.3,BSL_lower,0,BSL,Lower
12,9n,Chinook_LFR_SP_1.3,BSL_lower,10,BSL,Lower
12,9n,Chinook_LFR_SU_1.3,BSL_lower,10,BSL,Lower
12,9n,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,10,BSL,Lower
12,9n,Chinook_BB_FA_0.3,BSL_lower,5,BSL,Lower
12,9n,Chum_LFR,BSL_lower,20,BSL,Lower
12,9n,Coho_Lillooet,BSL_lower,20,BSL,Lower
12,9n,Coho_LFR,BSL_lower,20,BSL,Lower
12,9n,Coho_BB,BSL_lower,10,BSL,Lower
12,9n,Pink_FR,BSL_lower,30,BSL,Lower
12,9n,Sockeye_Chilliwack_ES,BSL_lower,30,BSL,Lower
12,9n,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
12,9n,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,30,BSL,Lower
12,9n,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,0,BSL,Lower
12,9n,Sockeye_Pitt_ES,BSL_lower,30,BSL,Lower
12,9n,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,20,BSL,Lower
12,9n,Sockeye_Harrison_River,BSL_lower,30,BSL,Lower
12,9n,Sockeye_Widgeon_River,BSL_lower,0,BSL,Lower
13,No,Chinook_LFR_FA_0.3,BSL_lower,20,BSL,Lower
13,No,Chinook_Maria_Slough_SU_0.3,BSL_lower,20,BSL,Lower
13,No,Chinook_LFR_SP_1.3,BSL_lower,20,BSL,Lower
14,gs,Chinook_LFR_FA_0.3,BSL_lower,25,BSL,Lower
14,gs,Chinook_Maria_Slough_SU_0.3,BSL_lower,25,BSL,Lower
14,gs,Chinook_LFR_SP_1.3,BSL_lower,30,BSL,Lower
14,gs,Chinook_LFR_SU_1.3,BSL_lower,15,BSL,Lower
14,gs,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,0,BSL,Lower
14,gs,Chinook_BB_FA_0.3,BSL_lower,15,BSL,Lower
14,gs,Chum_LFR,BSL_lower,15,BSL,Lower
14,gs,Pink_FR,BSL_lower,35,BSL,Lower
14,gs,Sockeye_Chilliwack_ES,BSL_lower,35,BSL,Lower
14,gs,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
14,gs,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,30,BSL,Lower
14,gs,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,10,BSL,Lower
14,gs,Sockeye_Pitt_ES,BSL_lower,40,BSL,Lower
14,gs,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,25,BSL,Lower
14,gs,Sockeye_Harrison_River,BSL_lower,40,BSL,Lower
14,gs,Sockeye_Widgeon_River,BSL_lower,25,BSL,Lower
15,6m,Chinook_LFR_FA_0.3,BSL_lower,25,BSL,Lower
15,6m,Chinook_Maria_Slough_SU_0.3,BSL_lower,0,BSL,Lower
15,6m,Chinook_LFR_SP_1.3,BSL_lower,25,BSL,Lower
15,6m,Chinook_LFR_SU_1.3,BSL_lower,30,BSL,Lower
15,6m,Chum_LFR,BSL_lower,25,BSL,Lower
15,6m,Coho_Lillooet,BSL_lower,25,BSL,Lower
15,6m,Coho_LFR,BSL_lower,25,BSL,Lower
15,6m,Coho_BB,BSL_lower,25,BSL,Lower
15,6m,Pink_FR,BSL_lower,50,BSL,Lower
15,6m,Sockeye_Chilliwack_ES,BSL_lower,0,BSL,Lower
15,6m,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
15,6m,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,15,BSL,Lower
15,6m,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,15,BSL,Lower
15,6m,Sockeye_Pitt_ES,BSL_lower,10,BSL,Lower
15,6m,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,15,BSL,Lower
15,6m,Sockeye_Harrison_River,BSL_lower,25,BSL,Lower
15,6m,Sockeye_Widgeon_River,BSL_lower,25,BSL,Lower
16,cG,Chinook_LFR_FA_0.3,BSL_lower,20,BSL,Lower
16,cG,Chinook_Maria_Slough_SU_0.3,BSL_lower,20,BSL,Lower
16,cG,Chinook_LFR_SP_1.3,BSL_lower,20,BSL,Lower
16,cG,Chinook_LFR_SU_1.3,BSL_lower,50,BSL,Lower
16,cG,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,10,BSL,Lower
16,cG,Chinook_BB_FA_0.3,BSL_lower,50,BSL,Lower
16,cG,Chum_LFR,BSL_lower,60,BSL,Lower
16,cG,Coho_Lillooet,BSL_lower,20,BSL,Lower
16,cG,Coho_LFR,BSL_lower,20,BSL,Lower
16,cG,Coho_BB,BSL_lower,20,BSL,Lower
16,cG,Pink_FR,BSL_lower,50,BSL,Lower
17,IL,Chinook_LFR_FA_0.3,BSL_lower,20,BSL,Lower
17,IL,Chinook_Maria_Slough_SU_0.3,BSL_lower,20,BSL,Lower
17,IL,Chinook_LFR_SP_1.3,BSL_lower,20,BSL,Lower
17,IL,Chinook_LFR_SU_1.3,BSL_lower,20,BSL,Lower
17,IL,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,20,BSL,Lower
17,IL,Chinook_BB_FA_0.3,BSL_lower,5,BSL,Lower
17,IL,Chum_LFR,BSL_lower,20,BSL,Lower
17,IL,Coho_Lillooet,BSL_lower,10,BSL,Lower
17,IL,Coho_LFR,BSL_lower,10,BSL,Lower
17,IL,Coho_BB,BSL_lower,5,BSL,Lower
17,IL,Pink_FR,BSL_lower,20,BSL,Lower
17,IL,Sockeye_Chilliwack_ES,BSL_lower,40,BSL,Lower
17,IL,Sockeye_Cultus_Late,BSL_lower,40,BSL,Lower
17,IL,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,40,BSL,Lower
17,IL,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,40,BSL,Lower
17,IL,Sockeye_Pitt_ES,BSL_lower,40,BSL,Lower
17,IL,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,40,BSL,Lower
17,IL,Sockeye_Harrison_River,BSL_lower,40,BSL,Lower
17,IL,Sockeye_Widgeon_River,BSL_lower,40,BSL,Lower
18,Ko,Chinook_LFR_FA_0.3,BSL_lower,60,BSL,Lower
18,Ko,Chinook_Maria_Slough_SU_0.3,BSL_lower,50,BSL,Lower
18,Ko,Chinook_LFR_SP_1.3,BSL_lower,50,BSL,Lower
18,Ko,Chinook_LFR_SU_1.3,BSL_lower,50,BSL,Lower
18,Ko,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,40,BSL,Lower
18,Ko,Chinook_BB_FA_0.3,BSL_lower,30,BSL,Lower
18,Ko,Chum_LFR,BSL_lower,60,BSL,Lower
18,Ko,Coho_Lillooet,BSL_lower,40,BSL,Lower
18,Ko,Coho_LFR,BSL_lower,40,BSL,Lower
18,Ko,Coho_BB,BSL_lower,40,BSL,Lower
18,Ko,Pink_FR,BSL_lower,60,BSL,Lower
18,Ko,Sockeye_Chilliwack_ES,BSL_lower,60,BSL,Lower
18,Ko,Sockeye_Cultus_Late,BSL_lower,20,BSL,Lower
18,Ko,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,60,BSL,Lower
18,Ko,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,40,BSL,Lower
18,Ko,Sockeye_Pitt_ES,BSL_lower,60,BSL,Lower
18,Ko,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,50,BSL,Lower
18,Ko,Sockeye_Harrison_River,BSL_lower,70,BSL,Lower
